uaf_sector_id;uaf_sector;sii_acteco;sii_glosa;tipo_equivalencia;confianza;uso_radar;fuente_complementaria_sugerida
46;Operadores de Mercados de Futuro y de Opciones;661100;ADMINISTRACIÓN DE MERCADOS FINANCIEROS;PARCIAL;ALTA;MATCH_FUERTE;CMF/UAF
46;Operadores de Mercados de Futuro y de Opciones;661209;OTROS SERVICIOS DE CORRETAJE DE VALORES Y COMMODITIES N.C.P.;PARCIAL;MEDIA;CANDIDATO;CMF/UAF
47;Organizaciones Deportivas Profesionales regidas por Ley 20.019;931201;ACTIVIDADES DE CLUBES DE FÚTBOL AMATEUR Y PROFESIONAL;PARCIAL;ALTA;MATCH_FUERTE;Registro de Organizaciones Deportivas Profesionales/UAF
47;Organizaciones Deportivas Profesionales regidas por Ley 20.019;931209;ACTIVIDADES DE OTROS CLUBES DEPORTIVOS N.C.P.;AMPLIA;MEDIA;CANDIDATO;Registro de Organizaciones Deportivas Profesionales/UAF
47;Organizaciones Deportivas Profesionales regidas por Ley 20.019;931901;PROMOCIÓN Y ORGANIZACIÓN DE COMPETENCIAS DEPORTIVAS;AMPLIA;BAJA;SOLO_PRESELECCION;Registro de Organizaciones Deportivas Profesionales/UAF
48;Otras Entidades Facultadas para Recibir Moneda Extranjera;661204;ACTIVIDADES DE CASAS DE CAMBIO Y OPERADORES DE DIVISA;PARCIAL;MEDIA;CANDIDATO;BCCh/UAF
49;Personas que se Dediquen a la Compraventa de Equinos de Raza Pura;462020;VENTA AL POR MAYOR DE ANIMALES VIVOS;AMPLIA;MEDIA;CANDIDATO;Registro genealógico/autoridad sectorial/UAF
50;Representaciones de Bancos Extranjeros;641990;OTROS TIPOS DE INTERMEDIACIÓN MONETARIA N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/UAF
51;Sociedades Administradoras de Zonas Francas;;;SIN_ACTECO_DIRECTO;BAJA;REQUIERE_REGISTRO_EXTERNO;Administración de Zona Franca/UAF
52;Usuarios de Zonas Francas;;;SIN_ACTECO_DIRECTO;BAJA;REQUIERE_REGISTRO_EXTERNO;Aduanas/administración de Zona Franca/UAF
53;Vehículos: Automotoras;451001;VENTA AL POR MAYOR DE VEHÍCULOS AUTOMOTORES;DIRECTA;ALTA;MATCH_FUERTE;UAF/registro comercial
53;Vehículos: Automotoras;451002;VENTA AL POR MENOR DE VEHÍCULOS AUTOMOTORES NUEVOS O USADOS (INCLUYE COMPRAVENTA);DIRECTA;ALTA;MATCH_FUERTE;UAF/registro comercial
54;Vehículos: Comercializadoras de Vehículos Nuevos o Usados;451001;VENTA AL POR MAYOR DE VEHÍCULOS AUTOMOTORES;DIRECTA;ALTA;MATCH_FUERTE;UAF/registro comercial
54;Vehículos: Comercializadoras de Vehículos Nuevos o Usados;451002;VENTA AL POR MENOR DE VEHÍCULOS AUTOMOTORES NUEVOS O USADOS (INCLUYE COMPRAVENTA);DIRECTA;ALTA;MATCH_FUERTE;UAF/registro comercial
55;Vehículos: Empresas de Arriendo de Vehículos;771000;ALQUILER DE VEHÍCULOS AUTOMOTORES SIN CHOFER;DIRECTA;ALTA;MATCH_FUERTE;UAF/registro comercial
