public_entity_id;official_name;official_name_norm;source_system;source_code;is_public_entity;is_public_service_strict;public_entity_type;chilecompra_reference_match;datos_gob_reference_match;dipres_reference_match;rut;entity_id;sii_legal_name;sii_match_method;sii_match_confidence;source_url;source_api_url;strict_reference_url
PUB-CL-AFB28E762A68E43BBF67;POLICIA DE INVESTIGACIONES DE CHILE;POLICIA DE INVESTIGACIONES DE CHILE;CHILECOMPRA_MERCADO_PUBLICO | DATOS_GOB_INSTITUTIONS;CHILECOMPRA:111880 | DATOS_GOB:policia_de_investigaciones;true;false;DEFENCE_OR_PUBLIC_SECURITY;true;true;false;60506000-5;ENT-RUT-60506000-5;POLICIA DE INVESTIGACIONES DE CHILE;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-930CEEAB91551BAEF0E5;Servicio Hidrográfico y Oceanográfico de la Armada de Chile;SERVICIO HIDROGRAFICO Y OCEANOGRAFICO DE LA ARMADA DE CHILE;DATOS_GOB_INSTITUTIONS;DATOS_GOB:servicio_hidrografico_y_oceanografico_de_la_armada;true;false;DEFENCE_OR_PUBLIC_SECURITY;false;true;false;;;;NO_RUT_MATCH;UNMATCHED;https://datos.gob.cl/organization/;https://datos.gob.cl/api/3/action/organization_list?all_fields=true;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-5D954231F70AB444508B;MINISTERIO DE BIENES NACIONALES;MINISTERIO DE BIENES NACIONALES;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:6941;true;true;MINISTRY_OR_SUBSECRETARIAT;true;false;true;61402000-8;ENT-RUT-61402000-8;MINISTERIO DE BIENES NACIONALES;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-3AFC289A90449C04E9C1;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:7250;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;61202000-0;ENT-RUT-61202000-0;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-01312CA85D6E6F7D1E3B;MINISTERIO PUBLICO;MINISTERIO PUBLICO;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:224060;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;61935400-1;ENT-RUT-61935400-1;MINISTERIO PUBLICO;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-D3C3B9F301F457865DC7;MINISTERIO SECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA;MINISTERIO SECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:6949;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;60100003-2;ENT-RUT-60100003-2;MINISTERIO SECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-5EC671DB28E41F0B4A51;Ministerio de Agricultura;MINISTERIO DE AGRICULTURA;DATOS_GOB_INSTITUTIONS;DATOS_GOB:ministerio_de_agricultura;true;true;MINISTRY_OR_SUBSECRETARIAT;false;true;true;;;;NO_RUT_MATCH;UNMATCHED;https://datos.gob.cl/organization/;https://datos.gob.cl/api/3/action/organization_list?all_fields=true;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-397453245C4DF55924B9;Ministerio de Educación;MINISTERIO DE EDUCACION;DATOS_GOB_INSTITUTIONS;DATOS_GOB:ministerio-de-educacion;true;false;MINISTRY_OR_SUBSECRETARIAT;false;true;false;;;;NO_RUT_MATCH;UNMATCHED;https://datos.gob.cl/organization/;https://datos.gob.cl/api/3/action/organization_list?all_fields=true;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-476A984A02DA1272CD48;Ministerio de Minería;MINISTERIO DE MINERIA;DATOS_GOB_INSTITUTIONS;DATOS_GOB:ministerio-de-mineria;true;false;MINISTRY_OR_SUBSECRETARIAT;false;true;false;;;;NO_RUT_MATCH;UNMATCHED;https://datos.gob.cl/organization/;https://datos.gob.cl/api/3/action/organization_list?all_fields=true;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-05B7D3445CE7FBEF977C;Ministerio de Obras Públicas;MINISTERIO DE OBRAS PUBLICAS;DATOS_GOB_INSTITUTIONS;DATOS_GOB:direccion_de_obras_hidraulicas;true;false;MINISTRY_OR_SUBSECRETARIAT;false;true;false;;;;NO_RUT_MATCH;UNMATCHED;https://datos.gob.cl/organization/;https://datos.gob.cl/api/3/action/organization_list?all_fields=true;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-A99882A56CDED2BE2797;Ministerio de Salud;MINISTERIO DE SALUD;DATOS_GOB_INSTITUTIONS;DATOS_GOB:ministerio_de_salud;true;true;MINISTRY_OR_SUBSECRETARIAT;false;true;true;;;;NO_RUT_MATCH;UNMATCHED;https://datos.gob.cl/organization/;https://datos.gob.cl/api/3/action/organization_list?all_fields=true;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-3DB9F71D3B3B48169756;SUBSECRETARIA DE CIENCIA, TECNOLOGIA, CONOCIMIENTO E INNOVACION;SUBSECRETARIA DE CIENCIA TECNOLOGIA CONOCIMIENTO E INNOVACION;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:1689493;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;62000740-4;ENT-RUT-62000740-4;SUBSECRETARIA DE CIENCIA, TECNOLOGIA, CONOCIMIENTO E INNOVACION;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-BE71DEE1AA66FAD88CD8;SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO;SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO;CHILECOMPRA_MERCADO_PUBLICO | DATOS_GOB_INSTITUTIONS;CHILECOMPRA:7081 | DATOS_GOB:subsecretaria_de_desarrollo_regional;true;false;MINISTRY_OR_SUBSECRETARIAT;true;true;false;60515000-4;ENT-RUT-60515000-4;SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-A8910C6B65A3A42C063F;SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO;SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO;CHILECOMPRA_MERCADO_PUBLICO | DATOS_GOB_INSTITUTIONS;CHILECOMPRA:7078 | DATOS_GOB:subsecretaria_de_economia;true;false;MINISTRY_OR_SUBSECRETARIAT;true;true;false;60701000-5;ENT-RUT-60701000-5;SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-01CBB2D441FB154FD33D;SUBSECRETARIA DE ENERGIA;SUBSECRETARIA DE ENERGIA;CHILECOMPRA_MERCADO_PUBLICO | DATOS_GOB_INSTITUTIONS;CHILECOMPRA:1155673 | DATOS_GOB:subsecretaria_de_energia;true;false;MINISTRY_OR_SUBSECRETARIAT;true;true;false;61979830-9;ENT-RUT-61979830-9;SUBSECRETARIA DE ENERGIA;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-AD78B742ABD52FD341C1;SUBSECRETARIA DE PESCA Y ACUICULTURA;SUBSECRETARIA DE PESCA Y ACUICULTURA;CHILECOMPRA_MERCADO_PUBLICO | DATOS_GOB_INSTITUTIONS;CHILECOMPRA:7211 | DATOS_GOB:subsecretaria_de_pesca_y_acuicultura;true;false;MINISTRY_OR_SUBSECRETARIAT;true;true;false;60719000-3;ENT-RUT-60719000-3;SUBSECRETARIA DE PESCA Y ACUICULTURA;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-25B57DD5BEDECA70E81D;SUBSECRETARIA DE PREVISION SOCIAL;SUBSECRETARIA DE PREVISION SOCIAL;CHILECOMPRA_MERCADO_PUBLICO | DATOS_GOB_INSTITUTIONS;CHILECOMPRA:7191 | DATOS_GOB:subsecretaria_de_prevision_social;true;false;MINISTRY_OR_SUBSECRETARIAT;true;true;false;61503000-7;ENT-RUT-61503000-7;SUBSECRETARIA DE PREVISION SOCIAL;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-38ADF35939164EFC7A52;SUBSECRETARIA DE RELACIONES ECONOMICAS INTERNACIONALES;SUBSECRETARIA DE RELACIONES ECONOMICAS INTERNACIONALES;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:1674041;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;62000670-K;ENT-RUT-62000670-K;SUBSECRETARIA DE RELACIONES ECONOMICAS INTERNACIONALES;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-CB4FE8EDABCF4327F4CA;SUBSECRETARIA DE RELACIONES EXTERIORES;SUBSECRETARIA DE RELACIONES EXTERIORES;CHILECOMPRA_MERCADO_PUBLICO | DATOS_GOB_INSTITUTIONS;CHILECOMPRA:7227 | DATOS_GOB:subsecretaria_de_relaciones_exteriores;true;false;MINISTRY_OR_SUBSECRETARIAT;true;true;false;60601000-1;ENT-RUT-60601000-1;SUBSECRETARIA DE RELACIONES EXTERIORES;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-A6FA87CA608C6F246941;SUBSECRETARIA DE SALUD PUBLICA;SUBSECRETARIA DE SALUD PUBLICA;CHILECOMPRA_MERCADO_PUBLICO | DATOS_GOB_INSTITUTIONS;CHILECOMPRA:7079 | DATOS_GOB:subsecretaria-de-salud-publica;true;false;MINISTRY_OR_SUBSECRETARIAT;true;true;false;61601000-K;ENT-RUT-61601000-K;SUBSECRETARIA DE SALUD PUBLICA;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-C00FDC70233125C6DB99;SUBSECRETARIA DE SERVICIOS SOCIALES;SUBSECRETARIA DE SERVICIOS SOCIALES;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:6947;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;60103000-4;ENT-RUT-60103000-4;SUBSECRETARIA DE SERVICIOS SOCIALES;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-F6896ADFF4BDACD5BDA4;SUBSECRETARIA DE TELECOMUNICACIONES;SUBSECRETARIA DE TELECOMUNICACIONES;CHILECOMPRA_MERCADO_PUBLICO | DATOS_GOB_INSTITUTIONS;CHILECOMPRA:6934 | DATOS_GOB:subsecretaria_de_telecomunicaciones;true;false;MINISTRY_OR_SUBSECRETARIAT;true;true;false;60513000-3;ENT-RUT-60513000-3;SUBSECRETARIA DE TELECOMUNICACIONES;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-56EBB7162379C0322349;SUBSECRETARIA DE TRANSPORTES;SUBSECRETARIA DE TRANSPORTES;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:7007;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;61212000-5;ENT-RUT-61212000-5;SUBSECRETARIA DE TRANSPORTES;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-5B922A092FEDAD5178B0;SUBSECRETARIA DEL INTERIOR;SUBSECRETARIA DEL INTERIOR;CHILECOMPRA_MERCADO_PUBLICO | DATOS_GOB_INSTITUTIONS;CHILECOMPRA:6944 | DATOS_GOB:subsecretaria_del_interior;true;false;MINISTRY_OR_SUBSECRETARIAT;true;true;false;60501000-8;ENT-RUT-60501000-8;SUBSECRETARIA DEL INTERIOR;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-4F69238FD7C390A97ECE;SUBSECRETARIA DEL MEDIO AMBIENTE;SUBSECRETARIA DEL MEDIO AMBIENTE;CHILECOMPRA_MERCADO_PUBLICO | DATOS_GOB_INSTITUTIONS;CHILECOMPRA:1198788 | DATOS_GOB:subsecretaria_del_medio_ambiente;true;false;MINISTRY_OR_SUBSECRETARIAT;true;true;false;61979930-5;ENT-RUT-61979930-5;SUBSECRETARIA DEL MEDIO AMBIENTE;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-132004B4E100AE0F1D77;SUBSECRETARIA DEL MINISTERIO DE AGRICULT;SUBSECRETARIA DEL MINISTERIO DE AGRICULT;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:7189;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;61301000-9;ENT-RUT-61301000-9;SUBSECRETARIA DEL MINISTERIO DE AGRICULT;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-0B77B7A1FCE91E726E00;SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA;SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:6958;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;60901000-2;ENT-RUT-60901000-2;SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-80D90595DD066397191F;SUBSECRETARIA DEL MINISTERIO DE HACIENDA;SUBSECRETARIA DEL MINISTERIO DE HACIENDA;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:6943;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;60801000-9;ENT-RUT-60801000-9;SUBSECRETARIA DEL MINISTERIO DE HACIENDA;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-D2196D7110FEE75FBCF8;SUBSECRETARIA DEL MINISTERIO DE JUSTICIA;SUBSECRETARIA DEL MINISTERIO DE JUSTICIA;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:7080;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;61001000-8;ENT-RUT-61001000-8;SUBSECRETARIA DEL MINISTERIO DE JUSTICIA;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-3BF622FD0EBE26A19919;SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO;SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:6951;true;false;MINISTRY_OR_SUBSECRETARIAT;true;false;false;61801000-7;ENT-RUT-61801000-7;SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
